nohup: ignoring input
=== spinoza RL Training ===
  n_envs=64, difficulty=1
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=0.0003 → 1e-05 (linear decay)
  model params: 622,607

  step=17305536 | eps/s=  2804 | success= 21.7% | miss=  9.7% | elapsed=6171.5s
  step=17405568 | eps/s=  2805 | success= 21.5% | miss=  8.1% | elapsed=6205.0s
  step=17505600 | eps/s=  2806 | success= 21.8% | miss=  8.5% | elapsed=6238.5s
  step=17605632 | eps/s=  2806 | success= 21.9% | miss=  8.5% | elapsed=6273.9s
  step=17705664 | eps/s=  2807 | success= 22.0% | miss=  8.2% | elapsed=6308.6s
  step=17805696 | eps/s=  2807 | success= 21.8% | miss=  8.3% | elapsed=6342.3s
  step=17905728 | eps/s=  2808 | success= 22.4% | miss=  8.3% | elapsed=6375.8s
  step=18005760 | eps/s=  2809 | success= 22.3% | miss=  7.7% | elapsed=6409.5s
  step=18105792 | eps/s=  2809 | success= 22.6% | miss=  7.2% | elapsed=6446.1s
  step=18205824 | eps/s=  2809 | success= 22.8% | miss=  7.3% | elapsed=6480.7s
  step=18305856 | eps/s=  2810 | success= 22.9% | miss=  7.4% | elapsed=6515.1s
  step=18405888 | eps/s=  2811 | success= 23.1% | miss=  7.5% | elapsed=6548.6s
  step=18505920 | eps/s=  2812 | success= 23.4% | miss=  7.6% | elapsed=6581.9s
  step=18605952 | eps/s=  2812 | success= 23.3% | miss=  7.2% | elapsed=6617.1s
  step=18705984 | eps/s=  2812 | success= 23.8% | miss=  7.0% | elapsed=6651.2s
  step=18806016 | eps/s=  2813 | success= 24.2% | miss=  6.6% | elapsed=6684.8s
  step=18906048 | eps/s=  2814 | success= 23.6% | miss=  6.5% | elapsed=6718.3s
  step=19006080 | eps/s=  2814 | success= 23.7% | miss=  6.5% | elapsed=6755.1s
  step=19106112 | eps/s=  2814 | success= 23.8% | miss=  6.9% | elapsed=6789.4s
  step=19206144 | eps/s=  2812 | success= 23.9% | miss=  6.6% | elapsed=6830.4s
  step=19306176 | eps/s=  2805 | success= 24.0% | miss=  6.7% | elapsed=6883.5s
  step=19406208 | eps/s=  2806 | success= 23.9% | miss=  6.9% | elapsed=6916.9s
  step=19506240 | eps/s=  2802 | success= 24.5% | miss=  6.8% | elapsed=6961.0s
  step=19606272 | eps/s=  2802 | success= 24.4% | miss=  6.4% | elapsed=6997.7s
  step=19706304 | eps/s=  2803 | success= 24.5% | miss=  6.5% | elapsed=7031.6s
  step=19806336 | eps/s=  2803 | success= 24.8% | miss=  6.5% | elapsed=7066.5s
  step=19906368 | eps/s=  2803 | success= 24.7% | miss=  6.2% | elapsed=7102.4s

  Training complete in 7140.2s
  Avg throughput: 2801 timesteps/sec
  Model saved to models/ppo_stage1

=== Evaluation (100 episodes) ===
  success: 100%
  avg reward: 4.793
