[15:04:11] === Stage 2 | flache Bahn Reward | lr=1e-5 | n_epochs=5 | target_kl=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=2
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=1e-05
  Loading pretrained model: models/ppo_stage1_checkpoints/ckpt_9000000_steps
  model params: 622,607

  step= 6402048 | eps/s=  4554 | success= 31.8% | miss= 56.9% | elapsed=1405.7s
  step= 6502080 | eps/s=  4554 | success= 31.7% | miss= 56.9% | elapsed=1427.6s
  step= 6602112 | eps/s=  4555 | success= 31.8% | miss= 56.7% | elapsed=1449.5s
  step= 6702144 | eps/s=  4551 | success= 31.9% | miss= 56.8% | elapsed=1472.7s
  step= 6802176 | eps/s=  4552 | success= 31.8% | miss= 56.7% | elapsed=1494.4s
  step= 6902208 | eps/s=  4552 | success= 31.8% | miss= 56.8% | elapsed=1516.3s
  step= 7002240 | eps/s=  4552 | success= 32.4% | miss= 56.3% | elapsed=1538.2s
  step= 7102272 | eps/s=  4552 | success= 32.0% | miss= 56.7% | elapsed=1560.3s
  step= 7202304 | eps/s=  4552 | success= 31.9% | miss= 56.5% | elapsed=1582.3s
  step= 7302336 | eps/s=  4552 | success= 31.8% | miss= 56.6% | elapsed=1604.3s
  step= 7402368 | eps/s=  4552 | success= 32.2% | miss= 56.4% | elapsed=1626.1s
  step= 7502400 | eps/s=  4553 | success= 32.3% | miss= 56.4% | elapsed=1647.9s
  step= 7602432 | eps/s=  4550 | success= 32.5% | miss= 56.4% | elapsed=1670.9s
  step= 7702464 | eps/s=  4550 | success= 32.3% | miss= 56.5% | elapsed=1692.9s
  step= 7802496 | eps/s=  4550 | success= 32.2% | miss= 56.4% | elapsed=1714.9s
  step= 7902528 | eps/s=  4550 | success= 32.4% | miss= 56.1% | elapsed=1737.0s
  step= 8002560 | eps/s=  4549 | success= 32.2% | miss= 56.3% | elapsed=1759.1s
