[17:49:55] === Baue Rust-Modul (maturin build --release) ===
🔗 Found pyo3 bindings
🐍 Found CPython 3.12 at /usr/bin/python3
    Finished `release` profile [optimized] target(s) in 0.03s
📦 Built wheel for CPython 3.12 to /home/sefo/devel/spinoza/target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Defaulting to user installation because normal site-packages is not writeable
Processing ./target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Installing collected packages: spinoza
  Attempting uninstall: spinoza
    Found existing installation: spinoza 0.1.0
    Uninstalling spinoza-0.1.0:
      Successfully uninstalled spinoza-0.1.0
Successfully installed spinoza-0.1.0
spinoza OK
[17:49:57] 
[17:49:57] === Stage 1: Kein Spin | 20M Steps | lr=3e-4→1e-5 (decay) | ent=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=1
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=0.0003 → 1e-05 (linear decay)
  model params: 622,607

  step=17905728 | eps/s=  4125 | success= 62.9% | miss= 28.8% | elapsed=4340.4s
  step=18005760 | eps/s=  4125 | success= 63.5% | miss= 28.5% | elapsed=4364.7s
  step=18105792 | eps/s=  4122 | success= 64.3% | miss= 28.1% | elapsed=4392.0s
  step=18205824 | eps/s=  4122 | success= 64.5% | miss= 28.1% | elapsed=4416.5s
  step=18305856 | eps/s=  4122 | success= 65.0% | miss= 27.7% | elapsed=4440.6s
  step=18405888 | eps/s=  4123 | success= 64.3% | miss= 28.0% | elapsed=4464.7s
  step=18505920 | eps/s=  4123 | success= 65.2% | miss= 27.5% | elapsed=4489.0s
  step=18605952 | eps/s=  4123 | success= 65.5% | miss= 27.1% | elapsed=4513.3s
  step=18705984 | eps/s=  4122 | success= 65.5% | miss= 26.9% | elapsed=4537.8s
  step=18806016 | eps/s=  4122 | success= 66.2% | miss= 26.8% | elapsed=4562.2s
  step=18906048 | eps/s=  4122 | success= 66.3% | miss= 26.7% | elapsed=4586.1s
  step=19006080 | eps/s=  4120 | success= 66.1% | miss= 26.3% | elapsed=4613.0s
  step=19106112 | eps/s=  4120 | success= 66.5% | miss= 26.3% | elapsed=4637.0s
  step=19206144 | eps/s=  4120 | success= 66.4% | miss= 26.2% | elapsed=4661.3s
  step=19306176 | eps/s=  4120 | success= 67.2% | miss= 25.8% | elapsed=4685.5s
  step=19406208 | eps/s=  4120 | success= 67.5% | miss= 25.7% | elapsed=4709.9s
  step=19506240 | eps/s=  4120 | success= 67.8% | miss= 25.5% | elapsed=4734.2s
  step=19606272 | eps/s=  4120 | success= 67.8% | miss= 25.4% | elapsed=4758.5s
  step=19706304 | eps/s=  4120 | success= 68.1% | miss= 25.3% | elapsed=4782.9s
  step=19806336 | eps/s=  4120 | success= 68.3% | miss= 25.1% | elapsed=4807.0s
  step=19906368 | eps/s=  4120 | success= 68.6% | miss= 25.2% | elapsed=4831.5s

  Training complete in 4859.1s
  Avg throughput: 4116 timesteps/sec
  Model saved to models/ppo_stage1

=== Evaluation (100 episodes) ===
  success: 98%
  paddle_miss: 2%
  avg reward: 1.145
[19:11:05] === Replay-Export Stage 1 (50 Replays, Difficulty 1) ===
Exported 34 replays to ../web/replays_stage1.json (1357 KB)
  Outcomes: {'success': 146, 'paddle_miss': 4}
[19:11:10] Stage 1 abgeschlossen.
[19:11:10] 
[19:11:10] === Stage 2: Leichter Spin | 20M Steps | lr=1e-5 | ent=0.02 (Fine-Tune von Stage 1) ===
=== spinoza RL Training ===
  n_envs=64, difficulty=2
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=1e-05
  Loading pretrained model: models/ppo_stage1
  model params: 622,607

  step=  100032 | eps/s=  7080 | success= 49.0% | miss= 43.3% | elapsed= 14.1s
  step=  200064 | eps/s=  7140 | success= 51.5% | miss= 42.5% | elapsed= 28.0s
  step=  300096 | eps/s=  7282 | success= 49.8% | miss= 44.3% | elapsed= 41.2s
  step=  400128 | eps/s=  7349 | success= 48.7% | miss= 44.8% | elapsed= 54.4s
  step=  500160 | eps/s=  7401 | success= 46.7% | miss= 47.2% | elapsed= 67.6s
  step=  600192 | eps/s=  7477 | success= 46.6% | miss= 47.7% | elapsed= 80.3s
  step=  700224 | eps/s=  7402 | success= 50.0% | miss= 44.0% | elapsed= 94.6s
  step=  800256 | eps/s=  7354 | success= 51.9% | miss= 41.2% | elapsed=108.8s
  step=  900288 | eps/s=  7319 | success= 51.1% | miss= 42.9% | elapsed=123.0s
  step= 1000320 | eps/s=  7329 | success= 48.8% | miss= 45.6% | elapsed=136.5s
  step= 1100352 | eps/s=  7355 | success= 47.7% | miss= 45.9% | elapsed=149.6s
  step= 1200384 | eps/s=  7304 | success= 51.2% | miss= 40.9% | elapsed=164.3s
  step= 1300416 | eps/s=  7327 | success= 47.3% | miss= 47.5% | elapsed=177.5s
  step= 1400448 | eps/s=  7351 | success= 49.4% | miss= 44.8% | elapsed=190.5s
  step= 1500480 | eps/s=  7371 | success= 43.7% | miss= 45.9% | elapsed=203.6s
  step= 1600512 | eps/s=  7390 | success= 46.0% | miss= 46.3% | elapsed=216.6s
  step= 1700544 | eps/s=  7409 | success= 47.0% | miss= 45.9% | elapsed=229.5s
  step= 1800576 | eps/s=  7400 | success= 51.2% | miss= 40.9% | elapsed=243.3s
  step= 1900608 | eps/s=  7356 | success= 51.5% | miss= 40.6% | elapsed=258.4s
  step= 2000640 | eps/s=  7315 | success= 45.2% | miss= 45.9% | elapsed=273.5s
  step= 2100672 | eps/s=  7318 | success= 48.8% | miss= 44.4% | elapsed=287.1s
  step= 2200704 | eps/s=  7314 | success= 50.3% | miss= 41.8% | elapsed=300.9s
  step= 2300736 | eps/s=  7324 | success= 49.7% | miss= 43.7% | elapsed=314.1s
  step= 2400768 | eps/s=  7326 | success= 46.0% | miss= 48.0% | elapsed=327.7s
  step= 2500800 | eps/s=  7336 | success= 51.5% | miss= 43.0% | elapsed=340.9s
  step= 2600832 | eps/s=  7347 | success= 49.7% | miss= 44.2% | elapsed=354.0s
  step= 2700864 | eps/s=  7357 | success= 44.5% | miss= 50.1% | elapsed=367.1s
  step= 2800896 | eps/s=  7366 | success= 37.1% | miss= 58.1% | elapsed=380.2s
  step= 2900928 | eps/s=  7375 | success= 42.4% | miss= 52.5% | elapsed=393.4s
  step= 3000960 | eps/s=  7386 | success= 39.1% | miss= 56.5% | elapsed=406.3s
  step= 3100992 | eps/s=  7400 | success= 39.8% | miss= 55.5% | elapsed=419.1s
  step= 3201024 | eps/s=  7402 | success= 37.2% | miss= 58.5% | elapsed=432.5s
  step= 3301056 | eps/s=  7409 | success= 44.9% | miss= 49.7% | elapsed=445.6s
  step= 3401088 | eps/s=  7413 | success= 43.8% | miss= 51.0% | elapsed=458.8s
  step= 3501120 | eps/s=  7418 | success= 47.0% | miss= 47.6% | elapsed=472.0s
  step= 3601152 | eps/s=  7420 | success= 46.8% | miss= 47.1% | elapsed=485.3s
  step= 3701184 | eps/s=  7419 | success= 50.8% | miss= 43.3% | elapsed=498.9s
  step= 3801216 | eps/s=  7415 | success= 51.8% | miss= 42.3% | elapsed=512.6s
  step= 3901248 | eps/s=  7413 | success= 49.7% | miss= 43.6% | elapsed=526.3s
  step= 4001280 | eps/s=  7391 | success= 53.7% | miss= 40.4% | elapsed=541.4s
  step= 4101312 | eps/s=  7394 | success= 51.0% | miss= 43.1% | elapsed=554.7s
