[09:56:26] === Baue Rust-Modul (maturin build --release) ===
🔗 Found pyo3 bindings
🐍 Found CPython 3.12 at /usr/bin/python3
    Finished `release` profile [optimized] target(s) in 0.03s
📦 Built wheel for CPython 3.12 to /home/sefo/devel/spinoza/target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Defaulting to user installation because normal site-packages is not writeable
Processing ./target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Installing collected packages: spinoza
  Attempting uninstall: spinoza
    Found existing installation: spinoza 0.1.0
    Uninstalling spinoza-0.1.0:
      Successfully uninstalled spinoza-0.1.0
Successfully installed spinoza-0.1.0
spinoza OK
[09:56:28] 
[09:56:28] === Stage 1: Kein Spin | 10M Steps | lr=3e-4 | ent=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=1
  total_timesteps=10000000
  policy=MLP [512, 512]

  model params: 622,607

  step= 1828736 | eps/s=  4045 | success=  0.4% | miss= 89.2% | elapsed=452.1s
  step= 1838784 | eps/s=  4037 | success=  0.4% | miss= 89.1% | elapsed=455.5s
  step= 1848832 | eps/s=  4051 | success=  0.4% | miss= 88.3% | elapsed=456.4s
  step= 1858880 | eps/s=  4043 | success=  0.4% | miss= 88.6% | elapsed=459.7s
  step= 1868928 | eps/s=  4036 | success=  0.6% | miss= 88.1% | elapsed=463.1s
  step= 1878976 | eps/s=  4050 | success=  0.4% | miss= 88.0% | elapsed=464.0s
  step= 1889024 | eps/s=  4042 | success=  0.4% | miss= 88.4% | elapsed=467.3s
  step= 1899072 | eps/s=  4056 | success=  0.5% | miss= 88.3% | elapsed=468.2s
  step= 1909120 | eps/s=  4049 | success=  0.4% | miss= 87.8% | elapsed=471.5s
  step= 1919168 | eps/s=  4041 | success=  0.4% | miss= 87.8% | elapsed=474.9s
  step= 1929216 | eps/s=  4055 | success=  0.5% | miss= 88.1% | elapsed=475.8s
  step= 1939264 | eps/s=  4049 | success=  0.5% | miss= 87.9% | elapsed=479.0s
  step= 1949312 | eps/s=  4062 | success=  0.5% | miss= 87.7% | elapsed=479.9s
  step= 1959360 | eps/s=  4055 | success=  0.5% | miss= 87.7% | elapsed=483.2s
  step= 1969408 | eps/s=  4047 | success=  0.4% | miss= 87.2% | elapsed=486.7s
  step= 1979456 | eps/s=  4060 | success=  0.4% | miss= 87.2% | elapsed=487.6s
  step= 1989504 | eps/s=  4052 | success=  0.5% | miss= 87.2% | elapsed=491.0s
  step= 1999552 | eps/s=  4045 | success=  0.4% | miss= 87.3% | elapsed=494.4s
  step= 2009600 | eps/s=  4057 | success=  0.5% | miss= 87.2% | elapsed=495.3s
  step= 2019648 | eps/s=  4050 | success=  0.5% | miss= 87.0% | elapsed=498.6s
  step= 2029696 | eps/s=  4063 | success=  0.4% | miss= 86.8% | elapsed=499.5s
  step= 2039744 | eps/s=  4056 | success=  0.5% | miss= 86.9% | elapsed=502.9s
  step= 2049792 | eps/s=  4049 | success=  0.5% | miss= 87.1% | elapsed=506.2s
  step= 2059840 | eps/s=  4062 | success=  0.5% | miss= 87.4% | elapsed=507.1s
  step= 2069888 | eps/s=  4054 | success=  0.5% | miss= 87.0% | elapsed=510.5s
  step= 2079936 | eps/s=  4067 | success=  0.5% | miss= 86.5% | elapsed=511.5s
  step= 2089984 | eps/s=  4059 | success=  0.6% | miss= 87.2% | elapsed=514.8s
  step= 2100032 | eps/s=  4052 | success=  0.6% | miss= 86.8% | elapsed=518.3s
  step= 2110080 | eps/s=  4064 | success=  0.5% | miss= 87.2% | elapsed=519.2s
  step= 2120128 | eps/s=  4057 | success=  0.5% | miss= 86.5% | elapsed=522.6s
  step= 2130176 | eps/s=  4049 | success=  0.5% | miss= 86.4% | elapsed=526.1s
  step= 2140224 | eps/s=  4062 | success=  0.5% | miss= 86.0% | elapsed=526.9s
  step= 2150272 | eps/s=  4054 | success=  0.5% | miss= 86.3% | elapsed=530.4s
  step= 2160320 | eps/s=  4067 | success=  0.5% | miss= 86.2% | elapsed=531.2s
  step= 2170368 | eps/s=  4061 | success=  0.6% | miss= 86.3% | elapsed=534.4s
  step= 2180416 | eps/s=  4057 | success=  0.6% | miss= 86.3% | elapsed=537.4s
  step= 2190464 | eps/s=  4070 | success=  0.5% | miss= 86.5% | elapsed=538.2s
  step= 2200512 | eps/s=  4064 | success=  0.6% | miss= 85.9% | elapsed=541.4s
  step= 2210560 | eps/s=  4076 | success=  0.7% | miss= 85.6% | elapsed=542.3s
  step= 2220608 | eps/s=  4070 | success=  0.4% | miss= 85.6% | elapsed=545.7s
  step= 2230656 | eps/s=  4063 | success=  0.6% | miss= 86.1% | elapsed=549.1s
